Country	LawRank	GovernmentPowers	Absenceof Corruption	OpenGovernment	FundamentalRights	Orderand Security	RegulatoryEnforcement	CivilJustice	CriminalJustice	OverallScore
Dominica	45/126	0.53	0.6	0.5	0.64	0.76	0.52	0.59	0.55	0.59
Dominican Republic	95/126	0.45	0.39	0.51	0.56	0.63	0.39	0.43	0.34	0.46
Ecuador	87/126	0.46	0.41	0.51	0.49	0.62	0.49	0.48	0.35	0.48
Egypt	121/126	0.29	0.4	0.22	0.29	0.54	0.35	0.38	0.41	0.36
El Salvador	84/126	0.47	0.4	0.51	0.52	0.63	0.49	0.51	0.29	0.48
Estonia	10/126	0.84	0.8	0.8	0.83	0.89	0.79	0.8	0.71	0.81
Ethiopia	118/126	0.33	0.46	0.28	0.29	0.64	0.36	0.41	0.33	0.39
Finland	3/126	0.92	0.89	0.87	0.92	0.92	0.84	0.8	0.84	0.87
France	17/126	0.74	0.75	0.79	0.74	0.74	0.77	0.71	0.63	0.73
Georgia	41/126	0.57	0.7	0.59	0.62	0.78	0.56	0.54	0.52	0.61
Germany	6/126	0.85	0.82	0.79	0.85	0.89	0.85	0.86	0.78	0.84
Ghana	48/126	0.7	0.41	0.51	0.64	0.71	0.55	0.62	0.49	0.58
Greece	36/126	0.69	0.57	0.61	0.66	0.72	0.59	0.58	0.51	0.62
Grenada	43/126	0.59	0.66	0.47	0.63	0.77	0.58	0.62	0.5	0.6
Guatemala	96/126	0.54	0.37	0.51	0.55	0.59	0.42	0.37	0.32	0.46
Guinea	105/126	0.39	0.28	0.39	0.52	0.75	0.43	0.41	0.31	0.44
Guyana	75/126	0.57	0.46	0.44	0.56	0.61	0.46	0.53	0.38	0.5
Honduras	115/126	0.37	0.34	0.42	0.41	0.6	0.4	0.41	0.26	0.4
Hong Kong SAR, China	16/126	0.65	0.84	0.75	0.66	0.93	0.82	0.77	0.71	0.77
Hungary	57/126	0.41	0.51	0.46	0.58	0.91	0.47	0.46	0.48	0.53
India	68/126	0.61	0.43	0.61	0.53	0.59	0.48	0.45	0.4	0.51
Indonesia	62/126	0.66	0.38	0.54	0.52	0.7	0.55	0.44	0.37	0.52
Iran	102/126	0.39	0.45	0.29	0.25	0.75	0.48	0.55	0.42	0.45
Italy	28/126	0.71	0.63	0.63	0.73	0.74	0.59	0.56	0.64	0.65
Jamaica	50/126	0.62	0.54	0.56	0.63	0.62	0.54	0.51	0.5	0.56
Japan	15/126	0.71	0.82	0.69	0.78	0.92	0.78	0.79	0.74	0.78
Jordan	49/126	0.49	0.58	0.41	0.49	0.77	0.58	0.63	0.58	0.57
Kazakhstan	65/126	0.43	0.47	0.47	0.46	0.78	0.51	0.59	0.44	0.52
Kenya	101/126	0.49	0.27	0.49	0.46	0.56	0.46	0.47	0.38	0.45
Kyrgyzstan	85/126	0.48	0.31	0.54	0.49	0.75	0.45	0.49	0.31	0.48
Lebanon	89/126	0.52	0.39	0.44	0.52	0.64	0.44	0.44	0.38	0.47
Liberia	97/126	0.53	0.32	0.49	0.52	0.61	0.43	0.44	0.32	0.46
Macedonia, FYR	56/126	0.47	0.47	0.49	0.57	0.79	0.48	0.57	0.47	0.54
Madagascar	107/126	0.44	0.26	0.46	0.47	0.71	0.35	0.4	0.34	0.43
Malawi	67/126	0.56	0.42	0.43	0.59	0.68	0.45	0.54	0.45	0.51
Malaysia	51/126	0.54	0.58	0.38	0.48	0.77	0.53	0.6	0.54	0.55
Mali	103/126	0.48	0.31	0.43	0.54	0.56	0.54	0.43	0.28	0.45
Mauritania	122/126	0.3	0.31	0.26	0.39	0.65	0.26	0.32	0.3	0.35
Mauritius	37/126	0.6	0.58	0.54	0.64	0.77	0.63	0.63	0.53	0.61
Mexico	99/126	0.47	0.29	0.61	0.54	0.57	0.46	0.4	0.29	0.45
Moldova	83/126	0.43	0.32	0.55	0.54	0.8	0.42	0.47	0.34	0.49
Mongolia	53/126	0.54	0.44	0.51	0.58	0.77	0.49	0.54	0.5	0.55
Morocco	74/126	0.53	0.44	0.44	0.46	0.69	0.54	0.54	0.38	0.5
Mozambique	108/126	0.45	0.37	0.37	0.42	0.62	0.38	0.46	0.34	0.43
Myanmar	110/126	0.45	0.47	0.35	0.31	0.66	0.46	0.36	0.29	0.42
Namibia	34/126	0.68	0.53	0.58	0.66	0.73	0.58	0.66	0.54	0.62
Nepal	59/126	0.6	0.43	0.52	0.54	0.72	0.5	0.47	0.44	0.53
Netherlands	5/126	0.86	0.88	0.82	0.84	0.85	0.86	0.86	0.76	0.84
New Zealand	8/126	0.85	0.87	0.81	0.8	0.89	0.85	0.78	0.72	0.82
Nicaragua	114/126	0.27	0.35	0.38	0.39	0.7	0.45	0.41	0.28	0.4
Niger	104/126	0.42	0.43	0.35	0.49	0.65	0.44	0.43	0.34	0.44
Nigeria	106/126	0.54	0.34	0.43	0.46	0.35	0.43	0.48	0.43	0.43
Norway	2/126	0.94	0.94	0.88	0.9	0.93	0.87	0.85	0.83	0.89
Pakistan	117/126	0.52	0.32	0.45	0.38	0.36	0.38	0.38	0.35	0.39
Panama	64/126	0.53	0.42	0.59	0.62	0.68	0.51	0.49	0.31	0.52
Peru	70/126	0.61	0.33	0.55	0.63	0.64	0.5	0.46	0.33	0.51
Philippines	90/126	0.53	0.47	0.53	0.42	0.57	0.47	0.44	0.31	0.47
Poland	27/126	0.58	0.73	0.63	0.66	0.86	0.62	0.64	0.61	0.66
Portugal	22/126	0.79	0.72	0.67	0.79	0.79	0.64	0.69	0.6	0.71
Republic of Korea	18/126	0.72	0.67	0.69	0.74	0.84	0.73	0.77	0.71	0.73
Romania	31/126	0.62	0.57	0.62	0.7	0.84	0.57	0.64	0.57	0.64
Russia	88/126	0.37	0.45	0.49	0.45	0.66	0.49	0.52	0.34	0.47
Rwanda	40/126	0.6	0.6	0.57	0.52	0.84	0.57	0.63	0.55	0.61
Senegal	52/126	0.58	0.54	0.44	0.6	0.69	0.55	0.56	0.45	0.55
Serbia	78/126	0.4	0.44	0.47	0.56	0.78	0.47	0.5	0.38	0.5
Sierra Leone	98/126	0.51	0.35	0.42	0.52	0.68	0.37	0.41	0.36	0.45
Singapore	13/126	0.69	0.91	0.66	0.69	0.93	0.87	0.83	0.78	0.8
Slovenia	26/126	0.65	0.66	0.65	0.73	0.89	0.64	0.63	0.55	0.67
South Africa	47/126	0.62	0.48	0.62	0.64	0.61	0.55	0.59	0.52	0.58
Spain	21/126	0.72	0.72	0.7	0.78	0.77	0.68	0.67	0.66	0.71
Sri Lanka	63/126	0.55	0.46	0.5	0.54	0.7	0.49	0.47	0.45	0.52
St. Kitts and Nevis	30/126	0.64	0.67	0.41	0.72	0.79	0.61	0.75	0.57	0.65
St. Lucia	38/126	0.6	0.63	0.5	0.66	0.72	0.58	0.66	0.57	0.61
St. Vincent and the Grenadines	35/126	0.58	0.7	0.5	0.68	0.74	0.54	0.61	0.6	0.62
Suriname	69/126	0.49	0.51	0.37	0.55	0.65	0.47	0.51	0.53	0.51
Sweden	4/126	0.87	0.91	0.86	0.86	0.88	0.85	0.81	0.81	0.85
Tanzania	91/126	0.52	0.42	0.38	0.45	0.69	0.43	0.48	0.38	0.47
Thailand	76/126	0.47	0.49	0.48	0.48	0.71	0.48	0.49	0.42	0.5
Togo	100/126	0.35	0.42	0.31	0.49	0.74	0.49	0.47	0.36	0.45
Trinidad and Tobago	55/126	0.57	0.5	0.56	0.59	0.66	0.51	0.58	0.35	0.54
Tunisia	61/126	0.6	0.47	0.5	0.56	0.63	0.53	0.49	0.43	0.53
Turkey	109/126	0.29	0.48	0.42	0.32	0.63	0.42	0.45	0.38	0.42
Uganda	113/126	0.41	0.26	0.4	0.38	0.59	0.42	0.45	0.33	0.4
Ukraine	77/126	0.46	0.33	0.55	0.61	0.73	0.42	0.54	0.37	0.5
United Arab Emirates	32/126	0.55	0.79	0.36	0.46	0.91	0.72	0.66	0.67	0.64
United Kingdom	12/126	0.84	0.83	0.8	0.82	0.85	0.82	0.73	0.75	0.8
United States	20/126	0.73	0.74	0.77	0.72	0.76	0.73	0.64	0.63	0.71
Uruguay	23/126	0.75	0.74	0.71	0.76	0.7	0.69	0.75	0.54	0.71
Uzbekistan	94/126	0.33	0.38	0.31	0.39	0.91	0.44	0.51	0.44	0.46
Venezuela	126/126	0.18	0.32	0.29	0.33	0.48	0.2	0.28	0.14	0.28
Vietnam	81/126	0.45	0.4	0.46	0.46	0.77	0.45	0.45	0.46	0.49
Zambia	92/126	0.48	0.4	0.38	0.45	0.69	0.43	0.47	0.43	0.47
Zimbabwe	116/126	0.33	0.31	0.33	0.35	0.67	0.38	0.46	0.37	0.4
